Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Red Coffee Snake,Ninia sebae,October,6,0,?,? ,research,open,-89.5538558958,21.0570430756
Central American Boa,Boa imperator,November,5,0,?,? ,research,open,-89.3771469722,20.384609
Red Coffee Snake,Ninia sebae,Unknown,6,0,4,4,research,open,-88.8204536079,20.5523022478
Chicken Snake,Spilotes pullatus,November,9,0,?,? ,research,open,-88.741915,20.528192
Central American Boa,Boa imperator,November,4,0,50,50,research,open,-89.0346005279,21.2951752347
Peninsula Stripeless Snake,Coniophanes meridanus,October,4,0,5,30434,research,open,-89.761956795,20.9634417701
Yucatecan Dwarf Short-tail Snake,Tantillita canula,October,4,0,408,408,research,open,-89.6054906398,20.9528084676
Snail-eating Thirst Snake,Dipsas brevifacies,October,4,0,?,? ,research,open,-88.4456279722,20.5891869722
Yucatecan Dwarf Short-tail Snake,Tantillita canula,October,4,1,?,? ,research,open,-89.5965039722,20.989487
Peninsula Stripeless Snake,Coniophanes meridanus,August,3,0,266167,266167,research,open,-89.0943377092,20.7087398599
Rainforest Cat-eyed Snake,Leptodeira frenata,October,1,0,12,12,research,open,-88.4569603577,20.5907111788
Central American Boa,Boa imperator,October,5,0,?,? ,research,open,-88.4572739722,20.6298999722
Snail-eating Thirst Snake,Dipsas brevifacies,October,2,0,?,? ,research,open,-88.4158659722,20.606676
,Geophis sartorii sartorii,October,1,0,?,? ,research,open,-88.4158659722,20.606676
,Geophis sartorii sartorii,October,1,0,?,? ,research,open,-88.4569479722,20.6183869722
Central American Boa,Boa imperator,October,3,0,43,43,research,open,-88.4292722493,20.6232974064
Central American Boa,Boa imperator,October,3,0,2343,2343,research,open,-89.6010948345,20.9345958572
Central American Boa,Boa imperator,October,3,0,99,99,research,open,-89.5755457878,20.918243515
Central American Boa,Boa imperator,October,3,0,127,127,research,open,-89.5823193714,21.0261061576
Mexican Parrot Snake,Leptophis mexicanus,October,3,0,354,354,research,open,-89.6922215447,21.0154973179
,Geophis sartorii sartorii,October,0,0,?,30453,research,open,-88.5504017449,20.7032595995
Snail-eating Thirst Snake,Dipsas brevifacies,October,3,0,?,30472,research,open,-88.5943537804,20.5347767193
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,October,9,0,2039,30527,research,obscured,-88.9468342192,19.9452510279
Mexican Parrot Snake,Leptophis mexicanus,September,3,0,?,? ,research,open,-89.6574389722,20.898896
Black-striped Snake,Coniophanes imperialis,August,2,0,44,44,research,open,-90.0237410965,20.6092801015
Mexican Parrot Snake,Leptophis mexicanus,May,3,0,888,888,research,open,-89.4165890137,21.2925021629
Mexican Parrot Snake,Leptophis mexicanus,May,4,0,2888,2888,research,open,-89.6697141158,21.1623592885
Speckled Racer,Drymobius margaritiferus,April,4,0,220,220,research,open,-89.5381624182,21.0991473906
Central American Boa,Boa imperator,October,6,0,?,? ,research,open,-89.575,20.9161111111
Faded Black-striped Snake,Coniophanes schmidti,October,2,0,10065,10065,research,open,-89.1867034898,21.2610052145
Yucatan Rat Snake,Pseudelaphe phaescens,October,5,0,?,? ,research,open,-88.458504,20.609037
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,October,10,0,?,30453,research,obscured,-88.4440691044,20.7529785209
,Geophis sartorii sartorii,October,3,0,?,? ,research,open,-88.453117,20.591801
,Geophis sartorii sartorii,October,5,0,404,404,research,open,-88.4535455704,20.5969313945
Salmon-bellied Racer,Mastigodryas melanolomus,October,6,0,?,? ,research,open,-88.423534,20.587612
Central American Milksnake,Lampropeltis abnorma,October,7,0,?,? ,research,open,-88.423534,20.587612
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,October,10,0,?,30472,research,obscured,-88.5860690995,20.5730994474
Yucatán Hognose Viper,Porthidium yucatanicum,October,10,0,?,? ,research,open,-88.4175879722,20.600988
Central American Boa,Boa imperator,October,8,0,?,? ,research,open,-88.4175879722,20.600988
Rainforest Cat-eyed Snake,Leptodeira frenata,October,5,0,?,? ,research,open,-88.4562109722,20.6174999722
